gp_code,gp_name,landuse_cropland_pct,landuse_forest_pct,landuse_water_pct,landuse_builtup_pct
185497,HARNAS,55.38,22.06,18.08,4.48
185473,BRAMHANGHAR V.K.,55.06,21.47,19.06,4.41
185499,HATVE KH.,60.38,21.87,12.4,5.35
185498,HATAVE BK.,59.81,21.21,13.94,5.04
185593,TAMBHAD,59.96,23.04,11.61,5.39
186631,SONDE HIROJI,39.87,45.0,9.35,5.78
186634,SONDE SARPHALA,40.3,45.0,9.13,5.57
185511,KARANDI BK.,58.15,27.11,9.72,5.02
185606,VADHANE,57.94,26.41,10.8,4.85
185491,GORADMHASAVALI,58.44,25.35,11.39,4.82
,,55.92,25.21,14.46,4.41
185566,PASURE,56.04,26.58,13.12,4.26
185570,RAJGHAR,56.74,28.03,10.77,4.46
185516,KARANDI KH.,57.17,28.51,9.39,4.93
186580,ASANI DAMGUDA,40.37,45.0,9.63,5.0
185506,KAMBARE KH.,55.3,30.14,9.95,4.61
185531,KURUNJI,53.19,31.71,10.7,4.4
186592,GUNJAVANE,38.95,45.0,11.3,4.75
,,46.21,34.8,14.6,4.39
185535,MALE,49.68,33.85,12.22,4.25
185603,VELVAND,55.88,29.73,10.1,4.29
185512,KARANJGAON,57.56,29.8,8.62,4.02
185540,MHASAR KH.,57.89,31.07,7.02,4.02
185541,MHASAR BK.,56.48,32.97,6.53,4.02
185485,DEHEN GR.,54.66,33.45,7.85,4.04
185563,PANGARI,54.61,32.22,9.07,4.1
185576,SALUNGAN,52.64,35.97,7.36,4.03
185585,SHILIMB,52.26,38.32,5.41,4.01
185529,KUMBALE,44.45,39.38,12.13,4.04
185480,BHUTONDE,47.55,36.26,12.09,4.1
185494,GUHINI,39.53,38.49,17.84,4.14
186617,METPILAWARE,29.06,45.0,21.68,4.26
186638,WELHE BK.,28.29,45.0,22.15,4.56
186637,WELHE KH.,28.79,45.0,21.28,4.93
186594,HIRPODI,28.77,45.0,20.99,5.24
186602,KHARIV,30.15,45.0,19.76,5.09
186642,WAJEGHAR,31.26,45.0,19.0,4.74
186624,PAL BK.,31.28,45.0,19.29,4.43
186611,LAVHI BK.,33.8,45.0,16.28,4.92
186616,MERAVANE,35.65,45.0,14.16,5.19
186585,CHIRMODI,37.4,45.0,12.32,5.28
186581,ASNI MANJAI,38.76,45.0,11.14,5.1
186628,SAKHAR,35.96,45.0,13.34,5.7
186639,VINZHAR,33.3,45.0,13.96,7.74
186610,LASHIRGAON,31.95,45.0,16.47,6.58
186612,MALAVALI,33.14,45.0,15.28,6.58
186644,WANJALE,32.03,45.0,17.59,5.38
186587,DAPODE,30.55,45.0,18.07,6.38
186625,RANJANE,29.05,45.0,17.89,8.06
185728,KHAMGAON MAVAL,39.02,31.39,17.94,11.65
186606,KONDGAON,26.34,45.0,18.12,10.54
186601,KHAMGAON,28.47,45.0,18.01,8.52
186626,RULE,31.05,45.0,16.46,7.49
186577,AMBED,28.5,45.0,17.8,8.7
186623,PABE,29.26,45.0,19.86,5.88
186586,DHANEP,28.32,45.0,21.81,4.87
185700,AMBI,37.98,39.0,16.86,6.16
186608,KURAN BK.,34.51,45.0,13.32,7.17
185771,SONAPUR,37.88,35.92,16.25,9.95
186620,NIGADE MOSE,26.34,45.0,17.82,10.84
186622,OSADE,36.82,34.88,17.27,11.03
185723,JAMBHALI,39.66,37.72,13.69,8.93
186325,DAVAJE,29.92,45.0,13.65,11.43
185765,SANGRUN,35.36,35.05,16.22,13.37
185704,BAHULI,37.09,36.91,13.12,12.88
186344,KONDHUR,34.36,45.0,12.15,8.49
,,34.08,45.0,11.19,9.73
,,33.14,45.0,10.31,11.55
186301,AMBEGAON,34.26,45.0,10.02,10.72
186355,MARNEWADI,32.31,45.0,9.74,12.95
186384,URAWADE,27.7,45.0,10.56,16.74
186316,BOTARWADI,23.37,45.0,12.23,19.4
,,37.7,37.39,12.22,12.69
185696,AHIRE,27.26,33.15,15.23,24.36
186371,PIRANGUT,19.36,45.0,10.3,25.34
186314,BHUKUM,10.0,43.05,14.22,32.73
,,17.79,30.86,18.6,32.75
185737,KUDAJE,18.3,30.15,21.55,30.0
185695,AGALAMBE,22.96,30.77,21.99,24.28
185695,AGALAMBE,27.87,32.88,17.28,21.97
185743,MANDAVI BK.,31.44,33.63,18.11,16.82
237300,KHADAKWADI,25.82,31.98,20.38,21.82
185744,MANDAVI KH.,28.45,32.38,20.0,19.17
185742,MALKHED,32.07,32.78,19.45,15.7
185787,VARDADE,35.26,33.03,18.84,12.87
185745,MANERWADI,28.79,30.92,21.25,19.04
185730,KHANAPUR,26.07,30.32,22.02,21.59
185719,GORHE KH.,22.99,30.16,22.52,24.33
185714,DONJE,21.59,26.37,20.97,31.07
185727,KHADAKWASALA,10.0,26.88,22.53,40.59
185718,GORHE BK.,15.42,27.99,22.98,33.61
185752,KOPRE,10.87,28.68,21.86,38.59
185735,KONDHWE DHAVADE,10.0,28.02,18.93,43.05
,,10.0,21.5,17.71,50.79
,,10.0,18.26,14.76,56.98
185748,NANDED,10.0,21.69,19.67,48.64
185732,KIRKATWADI,9.99,22.76,20.32,46.93
185750,NARHE,10.01,19.5,14.94,55.55
,,10.0,17.99,16.35,55.66
,,10.0,14.69,11.54,63.77
,,10.0,14.78,11.69,63.53
,,10.0,16.31,9.8,63.89
,,10.0,17.77,12.36,59.87
237299,JAMBHULWADI / KOLEWADI,14.29,22.02,13.32,50.37
,,10.0,21.57,12.84,55.59
,,10.0,21.69,17.82,50.49
185749,NANDOSHI,17.35,24.63,19.12,38.9
185583,SASEWADI,33.28,21.97,11.84,32.91
185733,KOLVADI SASHTE,20.85,22.5,14.31,42.34
185715,GAUDDARA,39.85,22.6,11.63,25.92
,,47.5,21.91,9.11,21.48
,,52.54,21.22,7.4,18.84
185524,KHOPI,56.87,22.36,7.96,12.81
,,53.1,22.04,7.87,16.99
185532,KUSAGAON,52.82,23.64,8.84,14.7
,,42.5,24.75,13.14,19.61
185571,RANJE,46.74,23.38,10.67,19.21
185701,ARVI,33.79,24.06,15.07,27.08
185734,KONDHANPUR,39.84,25.75,14.82,19.59
185716,GHERASINHAGAD,31.89,28.58,20.09,19.44
185725,KALYAN,43.39,28.06,15.13,13.42
295550,WANGANIWADI,32.68,45.0,11.07,11.25
185762,RAHATVADE,47.23,25.29,11.68,15.8
186619,NIGADE BK.,37.47,45.0,8.5,9.03
186613,MANGDARI,36.99,45.0,9.88,8.13
186599,KATVADI,35.48,45.0,10.54,8.98
186605,KOLWADI,34.13,45.0,11.98,8.89
186615,MARGASANI,37.76,45.0,10.77,6.47
186603,KODAVADI,39.48,45.0,10.0,5.52
186635,SURUVAD,39.6,45.0,9.8,5.6
186640,WADGAON ZANJE,39.53,45.0,9.79,5.68
186633,SONDE MATHANA,39.35,45.0,9.78,5.87
186598,KARANJAVANE,38.76,45.0,9.49,6.75
186576,AMBAVANE GROUP,39.73,45.0,8.42,6.85
186632,SONDE KARLA,40.15,45.0,9.15,5.7
185581,SANGAVI BK.,60.24,24.07,9.14,6.55
185526,KOLAVADI,60.82,23.11,9.53,6.54
185592,SONAVADI,60.1,23.89,8.51,7.5
185565,PARWADI,58.18,23.95,8.29,9.58
186584,BORAVALE GROUP,36.9,45.0,8.52,9.58
185530,KURUNGVADI,60.69,22.77,8.17,8.37
185509,KANJALE,61.15,21.4,7.25,10.2
185575,SALAVADE,63.02,21.08,8.04,7.86
185503,JAMBHALI,62.71,21.92,8.7,6.67
185605,VIRWADI,62.82,20.98,10.21,5.99
185536,MALEGAON,63.78,20.27,9.98,5.97
185550,NASRAPUR,65.16,19.59,9.16,6.09
185552,NAYGAON,66.53,19.29,6.48,7.7
185520,KELAWADE,65.41,20.0,6.69,7.9
185600,VARVE BK.,62.36,20.48,6.63,10.53
,,66.77,18.24,4.22,10.77
185484,DEGAON,67.53,18.72,6.39,7.36
186424,KETKAVALE,71.86,16.65,6.01,5.48
186405,CHILHEWADI*,73.64,15.91,4.09,6.36
186460,PURPOKHAR,74.07,15.56,3.0,7.37
186408,DEWADI,71.75,16.63,4.42,7.2
185515,KARANDI KHEBA,69.37,17.72,5.11,7.8
186470,SOMURDI,69.45,16.73,3.0,10.82
186428,KODIT BK.,71.33,15.67,3.0,10.0
186429,KODIT KH.,69.53,15.46,3.0,12.01
186413,GARDE,62.16,17.29,3.0,17.55
186474,THAPEWADI,57.45,18.7,4.82,19.03
185601,VARVE KH.,62.28,19.44,5.64,12.64
185591,SHIVARE,59.36,20.42,5.53,14.69
185519,KASURDI K. B,53.6,20.13,6.32,19.95
185602,VELU,45.59,20.61,8.0,25.8
185717,GOGALWADI,40.21,19.87,7.57,32.35
185587,SHINDEWADI,32.9,20.95,10.02,36.13
186400,BHIVARI,49.32,17.47,4.37,28.84
186396,ASKARWADI,38.92,18.51,5.72,36.85
185780,VADACHIWADI,36.48,17.67,4.72,41.13
185760,PISOLI,25.4,18.26,5.35,50.99
,,26.34,18.9,6.42,48.34
185720,GUJAR-NIMBALKARWADI,22.86,19.81,8.12,49.21
185708,BHILAREWADI,25.56,20.43,9.42,44.59
185745,MANERWADI,16.28,20.62,9.85,53.25
,,10.0,20.29,9.36,60.35
,,14.3,19.23,6.61,59.86
,,10.21,18.9,5.59,65.3
,,20.48,17.61,4.23,57.68
,,26.11,17.72,4.62,51.55
237301,OUTADE-HANDEWADI,35.21,17.03,4.04,43.72
,,24.11,16.91,3.0,55.98
185766,SHEWALWADI,44.96,15.44,3.0,36.6
,,46.74,15.42,3.0,34.84
,,41.74,16.12,3.0,39.14
185722,HOLKARWADI,44.51,16.49,3.0,36.0
186402,BOPGAON,58.47,16.09,3.0,22.44
186404,CHAMBALI,65.52,15.42,3.0,16.06
186411,DIVE,69.74,15.0,3.0,12.26
186482,ZENDEWADI,66.89,15.0,3.0,15.11
185783,VADAKI,56.47,15.29,3.0,25.24
185724,KADAMWAKVASTI,57.85,15.0,3.0,24.15
185740,LONIKALBHOR,65.02,15.0,3.0,16.98
185738,KUJIREWADI,70.12,15.0,3.0,11.88
185772,SORTAPWADI,74.08,15.0,3.0,7.92
185697,ALANDI MHATOBA,72.75,15.0,3.0,9.25
185773,TARDE,74.89,15.0,3.0,7.11
,,72.51,15.0,3.0,9.49
186471,SONORI,73.88,15.0,3.0,8.12
186477,VANPURI,75.67,15.0,3.0,6.33
186416,GURHOLI,75.78,15.0,3.0,6.22
186476,UDACHIWADI,76.25,15.0,3.0,5.75
186432,KUMBHARVALAN,76.29,15.0,3.0,5.71
186412,YEKHATPUR,76.84,15.0,3.0,5.16
,,77.08,15.0,3.0,4.92
186425,KHALAD,77.07,15.0,3.0,4.93
186403,BORALEWADI,76.71,15.0,3.0,5.29
186395,AMBODI,75.22,15.0,3.0,6.78
,,74.78,15.0,3.0,7.22
186419,HIVARE,70.74,15.01,3.0,11.25
186399,BHIWADI,74.36,15.1,3.0,7.54
186472,SUPE KH.,76.0,15.0,3.0,6.0
186414,GHERA PU.*,76.03,15.28,3.0,5.69
186397,BAHIRWADI*,76.5,15.19,3.0,5.31
186449,PANWADI,77.16,15.0,3.0,4.84
186448,PANGARE,77.58,15.0,3.0,4.42
186453,PIMPALE,76.9,15.0,3.0,5.1
186468,SHIVARI,77.64,15.0,3.0,4.36
186427,KHENGAREWADI,77.81,15.0,3.0,4.19
,,77.82,15.0,3.0,4.18
186418,HARGUDE,77.88,15.0,3.0,4.12
186434,MAHUR,77.96,15.0,3.0,4.04
,,77.96,15.0,3.0,4.04
,,78.0,15.0,3.0,4.0
186478,VIR,78.0,15.0,3.0,4.0
186475,TONDAL,77.99,15.0,3.0,4.01
185495,GUNAND,77.99,15.0,3.0,4.01
185594,TAPREWADI,77.98,15.0,3.0,4.02
185558,PENJALWADI,77.96,15.0,3.0,4.04
185546,NHAVI 322,76.66,15.0,4.31,4.03
185614,VATHAR KH.,77.99,15.0,3.0,4.01
185562,PANDE,74.48,15.23,6.22,4.07
185476,BHAMBAVADE,75.57,15.03,5.35,4.05
185479,BHONGVALI,76.04,15.02,4.79,4.15
186436,MANDHAR,77.84,15.0,3.0,4.16
186407,DAVANEWADI,77.61,15.0,3.0,4.39
186410,DHANKAWADI,76.43,15.01,4.22,4.34
186422,KALDARI,76.08,15.12,4.05,4.75
185544,MORWADI,72.64,16.13,6.52,4.71
185608,WAGAJWADI,73.3,15.79,6.49,4.42
185584,SAVARDARE,73.21,15.59,7.04,4.16
185525,KIKVI,69.33,16.61,9.75,4.31
185486,DHANGAWADI,67.64,17.16,10.76,4.44
185555,NIGDE,67.31,17.46,10.62,4.61
185510,KAPURHOL,67.83,17.56,9.78,4.83
185488,DIVALE,69.36,17.52,7.65,5.47
185496,HARISHCHANDRI,66.47,18.14,10.38,5.01
185597,UMBARE,64.23,18.85,11.95,4.97
185508,KAMTHADI,66.82,18.59,8.87,5.72
