gp_code,gp_name,elevation_mean,elevation_std,elevation_min,elevation_max,slope_mean
186232,KANHE,911.7,59.8,804.1,1037.3,10.83
186263,SAI,926.3,61.5,815.7,1055.4,11.31
186280,TAKAWE BK.,897.7,58.2,792.9,1019.9,10.37
259689,Jambhul,878.6,56.0,777.7,996.3,9.76
186267,SATE,884.8,56.7,782.6,1003.9,9.96
,,882.0,56.4,780.4,1000.5,9.87
,,906.2,59.2,799.7,1030.4,10.64
,,921.9,61.0,812.2,1049.9,11.16
186209,BAUR,919.9,60.7,810.6,1047.4,11.09
186274,SHIVANE,897.5,58.2,792.8,1019.7,10.37
186258,OZHARDE,886.2,56.9,783.8,1005.7,10.0
186202,ADHE,872.9,55.4,773.2,989.2,9.58
186201,ADHALE BK.,886.5,56.9,784.0,1006.1,10.01
186200,ADHALE KH.,865.2,54.5,767.0,979.7,9.34
186262,PUSANE,881.0,56.3,779.6,999.2,9.84
186219,DIVAD,902.1,58.7,796.5,1025.4,10.51
186220,DONE,915.0,60.2,806.7,1041.4,10.93
237310,MALVANDI DHORE,918.5,60.6,809.5,1045.7,11.05
186273,SHIVALI,955.5,64.8,838.9,1091.5,12.28
186296,YELGHOL,942.3,63.3,828.4,1075.1,11.84
186257,OWHALE,928.4,61.7,817.3,1057.9,11.37
186248,MALVANDI THULE,962.8,65.6,844.8,1100.5,12.53
186283,TIKONA,984.0,68.0,861.6,1126.8,13.26
186294,WARU,995.2,69.3,870.5,1140.6,13.65
186242,KOTHURNE,980.2,67.6,858.6,1122.1,13.13
186295,YELSE,977.2,67.2,856.2,1118.4,13.03
186228,KADADHE,966.3,66.0,847.5,1104.8,12.65
186282,THUGAON,935.7,62.5,823.1,1066.9,11.62
186235,KARUNJ,947.7,63.9,832.8,1081.9,12.02
186214,CHIKHALSE,925.1,61.3,814.8,1053.9,11.27
186244,KUSGAON KH.,945.2,63.6,830.7,1078.7,11.94
186278,TAJE,978.5,67.4,857.3,1120.0,13.07
186261,PATAN,1011.1,71.1,883.2,1160.3,14.21
,,1031.4,73.4,899.3,1185.4,14.94
186211,BHAJE,1036.6,73.9,903.5,1191.9,15.13
186247,MAHAGAON,999.9,69.8,874.3,1146.4,13.82
237309,LOHGAD,1037.7,74.1,904.3,1193.2,15.17
186217,DEVALE,1054.4,76.0,917.7,1213.9,15.78
186249,MALVALI N.M.,1069.9,77.7,930.0,1233.1,16.35
186221,DONGARGAON,1095.6,80.6,950.5,1264.9,17.31
186208,OUNDHE KH.,1080.7,78.9,938.6,1246.5,16.75
186243,KUSGAON BK.,1121.0,83.5,970.7,1296.4,18.27
,,1123.3,83.8,972.5,1299.2,18.36
,,1165.3,88.5,1005.9,1351.2,19.99
,,1154.1,87.3,997.0,1337.4,19.56
186207,APTI,1117.9,83.2,968.2,1292.5,18.15
,,1138.7,85.5,984.8,1318.3,18.96
186251,MORAVE,1095.2,80.6,950.1,1264.4,17.29
186237,KEWARE,1046.6,75.1,911.5,1204.3,15.49
186284,TUNG,1070.9,77.8,930.8,1234.3,16.38
186251,MORAVE,1068.8,77.6,929.1,1231.7,16.3
186205,AMBEGAON,1039.0,74.2,905.4,1194.9,15.22
,,1013.2,71.3,884.9,1163.0,14.29
186295,YELSE,1014.7,71.5,886.1,1164.8,14.34
186230,KALE COLONY,999.9,69.8,874.3,1146.5,13.82
186281,THAKURSAI,1011.0,71.0,883.1,1160.2,14.21
,,1019.1,72.0,889.5,1170.2,14.5
186203,AJIVALI,1025.6,72.7,894.7,1178.3,14.73
186387,WALEN,1009.2,70.8,881.7,1158.0,14.15
186377,SHEDANI,1049.0,75.4,913.4,1207.3,15.58
186319,CHANDIVALI,1067.4,77.4,928.0,1230.0,16.25
186270,SHILIM,1058.3,76.4,920.8,1218.8,15.92
186347,KUMBHERI,1146.2,86.4,990.7,1327.5,19.25
186306,BARPE,1181.4,90.4,1018.8,1371.2,20.63
186372,POMGAON,1117.5,83.1,967.9,1292.1,18.14
186388,WANDRE,1135.9,85.2,982.5,1314.8,18.85
186351,MALE,1061.9,76.8,923.6,1223.2,16.05
186388,WANDRE,1088.3,79.8,944.6,1255.9,17.03
186386,VALANE,1015.3,71.5,886.5,1165.5,14.36
186361,MULSHI KH.,1013.1,71.3,884.8,1162.7,14.28
186378,SHERE,973.5,66.8,853.3,1113.8,12.9
186331,JAMGAON,985.7,68.2,863.0,1128.9,13.32
186304,ASADE,962.5,65.6,844.5,1100.2,12.52
,,970.6,66.5,850.9,1110.2,12.8
186309,BHADAS BK.,984.4,68.0,861.9,1127.3,13.28
186375,SAMBHAVE,1000.1,69.8,874.5,1146.7,13.83
186342,KOLWAN,978.5,67.4,857.3,1120.0,13.07
186328,HADSHI,998.6,69.6,873.3,1144.9,13.77
,,983.1,67.9,860.9,1125.7,13.23
186305,BHALGUDI,965.1,65.8,846.6,1103.4,12.61
186337,KATARKHADAK,929.9,61.9,818.5,1059.7,11.42
186364,NANGAON,944.7,63.5,830.3,1078.1,11.92
186376,SATHESAI,958.9,65.1,841.6,1095.6,12.4
186345,KULE,922.6,61.0,812.7,1050.8,11.18
186320,CHIKHALGAON,936.4,62.6,823.7,1067.8,11.64
186338,KHAMBOLI,902.8,58.8,797.0,1026.3,10.54
186370,PIMPALOLI,883.7,56.6,781.8,1002.6,9.92
186333,JAVAL,894.5,57.8,790.4,1016.0,10.27
186317,CHALE,912.5,59.9,804.7,1038.3,10.85
186323,DHAKHANE,914.3,60.1,806.1,1040.5,10.91
186365,NANEGAON,942.5,63.3,828.6,1075.4,11.84
186346,KHUBVALI,942.4,63.3,828.5,1075.2,11.84
186298,AKOLE,950.8,64.2,835.2,1085.7,12.13
186302,ANDESHE,958.4,65.1,841.2,1095.0,12.38
186343,KONDHAWALE,940.8,63.1,827.3,1073.3,11.79
186373,RAWADE,929.3,61.8,818.1,1059.1,11.41
186369,PAUD,916.7,60.4,808.1,1043.5,10.99
186321,CHINCHWAD,939.8,63.0,826.5,1072.1,11.75
186308,BELAWADE,945.1,63.6,830.7,1078.6,11.93
186362,MUTHA,951.3,64.3,835.6,1086.3,12.14
186352,MALEGAON,979.5,67.5,858.0,1121.2,13.11
186303,ANDGAON,963.6,65.7,845.4,1101.5,12.56
186339,KHARAWADE,984.1,68.0,861.7,1126.9,13.26
186389,WANJALE,987.5,68.4,864.4,1131.1,13.38
186341,KOLAWADE,998.2,69.6,872.9,1144.4,13.76
186340,KHECHARE,968.7,66.3,849.4,1107.8,12.73
186354,MANDEDE,984.7,68.1,862.2,1127.6,13.29
186361,MULSHI KH.,1039.2,74.2,905.6,1195.1,15.22
186382,TEMGHAR,1050.0,75.5,914.2,1208.5,15.61
186349,LAVHARDE,1020.3,72.1,890.5,1171.7,14.54
186312,BHODE,1031.4,73.4,899.3,1185.4,14.94
186297,ADMAL,1075.7,78.4,934.6,1240.3,16.56
186324,DASAVE,1085.5,79.5,942.4,1252.5,16.93
186368,PATHARSHET,1063.6,77.0,925.0,1225.4,16.12
186368,PATHARSHET,1053.0,75.8,916.5,1212.1,15.72
186618,MOSE BK.,1037.8,74.1,904.5,1193.4,15.17
186357,MOSE KH.,1056.9,76.2,919.7,1217.0,15.87
186357,MOSE KH.,1033.0,73.5,900.6,1187.4,15.0
186391,WATUNDE,1003.5,70.2,877.1,1150.9,13.94
186627,SAIV BK.,1015.8,71.6,887.0,1166.2,14.38
186332,JATEDE,972.8,66.7,852.7,1112.9,12.87
186297,ADMAL,1001.0,69.9,875.2,1147.8,13.86
186645,WARASGAON,1004.6,70.3,878.1,1152.3,13.99
186609,KURAN KH.,1013.6,71.3,885.2,1163.4,14.3
186596,KADAVE,1034.7,73.7,902.0,1189.5,15.06
186641,WADGHAR,1043.3,74.7,908.9,1200.2,15.37
186578,AMBEGAON KH.,1055.9,76.1,918.9,1215.8,15.83
186590,GIVSHI,1064.7,77.1,925.9,1226.7,16.16
,,1067.0,77.4,927.7,1229.5,16.24
186583,BHATTI WAKDARA,1050.6,75.5,914.6,1209.2,15.64
186597,KANAND,1077.6,78.6,936.1,1242.7,16.63
186583,BHATTI WAKDARA,1071.5,77.9,931.3,1235.1,16.41
186637,WELHE KH.,1071.7,77.9,931.4,1235.3,16.41
186604,KOLAMBI,1099.3,81.1,953.4,1269.6,17.45
186621,NIVI GEVHANDE,1091.4,80.2,947.1,1259.7,17.15
186588,GHISAR,1106.6,81.9,959.2,1278.6,17.72
186593,HARPUD,1122.4,83.7,971.8,1298.2,18.33
186614,MANGAON,1123.3,83.8,972.5,1299.2,18.36
186607,KOSHIMGHAR,1115.5,82.9,966.3,1289.6,18.06
186594,HIRPODI,1108.3,82.1,960.6,1280.7,17.79
186630,SHIRKOLI,1090.9,80.1,946.7,1259.1,17.13
186607,KOSHIMGHAR,1085.7,79.5,942.5,1252.6,16.93
186322,DARAWALI,1071.5,77.9,931.2,1235.0,16.41
186582,BALWAD,1099.9,81.1,953.8,1270.2,17.47
186381,TAV,1104.3,81.6,957.4,1275.7,17.64
186324,DASAVE,1141.7,85.9,987.1,1322.0,19.07
186591,GONDEKHAL GROUP,1137.5,85.4,983.8,1316.9,18.91
186636,TEKPOLE GROUP,1150.6,86.9,994.2,1333.0,19.42
186589,GHOL,1175.7,89.7,1014.2,1364.1,20.41
186380,TAMHINI BK.,1164.1,88.4,1005.0,1349.8,19.95
186326,DHAMANHOL,1156.2,87.5,998.7,1340.0,19.64
186315,BHOINI,1103.1,81.5,956.4,1274.2,17.59
186358,MUGAON,1120.4,83.4,970.2,1295.7,18.25
186390,WARAK,1092.6,80.3,948.0,1261.2,17.19
186392,WEGARE,1072.8,78.1,932.3,1236.7,16.46
186385,WADGAON,1060.4,76.6,922.4,1221.4,16.0
,,1080.1,78.9,938.1,1245.7,16.73
186367,NIVE,1135.7,85.2,982.4,1314.6,18.84
186600,KELAD,1092.7,80.3,948.2,1261.4,17.2
186595,JADHAVWADI,1085.4,79.5,942.3,1252.3,16.92
186629,SHENVAD,1077.8,78.6,936.3,1242.9,16.64
186607,KOSHIMGHAR,1068.8,77.6,929.1,1231.8,16.31
185468,ASHIMPI,1012.0,71.2,883.9,1161.4,14.25
185588,SHIRGAON,993.5,69.1,869.2,1138.6,13.59
,,986.1,68.2,863.3,1129.3,13.33
185493,GUDHE GR.,914.5,60.1,806.3,1040.7,10.92
185489,DURGADI,970.1,66.4,850.6,1109.6,12.78
185589,SHIRVALI HIMA,947.0,63.8,832.2,1081.0,12.0
185612,VARAVAND,981.0,67.6,859.2,1123.1,13.16
185501,HIRDOSHI,971.5,66.6,851.7,1111.3,12.83
185557,PARHAR BK.,909.7,59.6,802.5,1034.8,10.76
185483,DAPAKEGHAR,900.5,58.5,795.2,1023.4,10.46
185564,PARHAR KH.,933.6,62.3,821.5,1064.4,11.55
185527,KONDHARI B.K.,947.6,63.9,832.7,1081.8,12.02
185556,NIGUDGHAR,918.2,60.5,809.2,1045.3,11.04
185573,RAYARI,896.2,58.0,791.7,1018.1,10.32
185574,SALAV,897.9,58.2,793.1,1020.2,10.38
185573,RAYARI,880.8,56.3,779.5,999.0,9.83
185528,KORLE,845.2,52.3,751.1,954.9,8.73
185607,VADTUMBI,835.9,51.2,743.8,943.5,8.45
185596,TITEGHAR,821.9,49.6,732.6,926.1,8.03
185538,MHAKOSHI,827.3,50.2,736.9,932.7,8.19
185481,CHIKHALGAON,804.1,47.6,718.4,904.0,7.5
185611,VARODI KH.,770.5,43.8,691.7,862.5,6.55
185463,AAMBADE,766.5,43.3,688.5,857.5,6.44
185560,PALE,789.2,45.9,706.6,885.6,7.08
185609,VARODI BK.,784.6,45.4,702.9,880.0,6.95
185610,VARODI DAYMUKH,776.5,44.5,696.4,869.9,6.72
185572,RAVDI,796.3,46.7,712.2,894.3,7.28
185517,KARNAVAD,806.3,47.9,720.2,906.8,7.57
185547,NAZRE,824.6,49.9,734.7,929.4,8.11
185487,DHAVADI,811.6,48.4,724.4,913.3,7.72
185559,PALSOSHI,800.6,47.2,715.6,899.7,7.4
185553,NERE,792.4,46.3,709.1,889.6,7.17
185500,HATNOSHI,823.7,49.8,734.1,928.4,8.08
185523,KHANAPUR,809.9,48.3,723.1,911.3,7.67
185475,BHABAVADI,831.8,50.7,740.4,938.3,8.32
185469,BAJARWADI,828.0,50.3,737.4,933.6,8.21
,,849.8,52.8,754.8,960.6,8.87
185551,NATAMBI,857.7,53.7,761.1,970.4,9.11
185549,NANDGAON,885.3,56.8,783.1,1004.6,9.98
185579,SANGVI T. BHOR,863.7,54.4,765.9,977.8,9.3
185513,KARANJE,856.7,53.6,760.3,969.2,9.08
185561,PANVHAL,842.7,52.0,749.1,951.8,8.65
185465,AMBAVADE,841.5,51.8,748.2,950.3,8.61
185514,KARI,862.3,54.2,764.8,976.2,9.25
185477,BHAVEKHAL,890.4,57.4,787.2,1011.0,10.14
185466,ANGASULE,874.5,55.6,774.4,991.2,9.63
185467,APTI,901.9,58.7,796.3,1025.2,10.51
185533,MAHUDE BK.,921.5,60.9,811.8,1049.4,11.15
185504,JAYATPAD,955.7,64.8,839.1,1091.8,12.29
185534,MAHUDE KH.,926.9,61.5,816.2,1056.1,11.33
,,912.8,59.9,804.9,1038.6,10.86
185548,NAND,901.5,58.6,795.9,1024.6,10.49
185586,SHIND,901.0,58.6,795.6,1024.1,10.48
185567,PISAVARE,890.9,57.4,787.5,1011.5,10.15
185613,VATHARHIMA,882.0,56.4,780.4,1000.5,9.87
185464,AMBEGHAR,868.8,54.9,769.9,984.2,9.46
185590,SHIRVALI T. BHOR,870.5,55.1,771.3,986.2,9.51
185568,POMBARDI,872.7,55.4,773.1,989.0,9.58
185604,VENAVADI,862.7,54.2,765.0,976.5,9.26
,,850.1,52.8,755.0,961.0,8.88
185478,BHOLAVADE,866.9,54.7,768.4,981.8,9.4
185474,BASARAPUR,877.9,56.0,777.2,995.4,9.74
185471,BARE BK.,897.4,58.2,792.7,1019.6,10.36
185472,BARE KH,887.2,57.0,784.5,1006.9,10.03
299221,KIVAT,878.6,56.0,777.7,996.3,9.76
185490,GAWADI,896.1,58.0,791.6,1017.9,10.32
185539,MHALAVADI,910.8,59.7,803.4,1036.2,10.8
185505,JOGAWADI,920.9,60.8,811.4,1048.6,11.13
185537,MAZGAON,908.4,59.4,801.4,1033.1,10.72
185497,HARNAS,895.4,57.9,791.1,1017.1,10.3
185473,BRAMHANGHAR V.K.,887.0,57.0,784.4,1006.7,10.03
185499,HATVE KH.,908.4,59.4,801.4,1033.2,10.72
185498,HATAVE BK.,899.9,58.5,794.7,1022.6,10.44
185593,TAMBHAD,918.7,60.6,809.7,1046.0,11.05
186631,SONDE HIROJI,930.4,61.9,819.0,1060.5,11.44
186634,SONDE SARPHALA,936.5,62.6,823.8,1068.0,11.64
185511,KARANDI BK.,954.4,64.6,838.1,1090.1,12.25
185606,VADHANE,945.9,63.7,831.3,1079.6,11.96
185491,GORADMHASAVALI,935.0,62.4,822.6,1066.1,11.59
,,924.2,61.2,814.0,1052.7,11.23
185566,PASURE,931.8,62.1,820.0,1062.1,11.49
185570,RAJGHAR,956.2,64.8,839.5,1092.3,12.31
185516,KARANDI KH.,967.7,66.1,848.7,1106.6,12.7
186580,ASANI DAMGUDA,980.9,67.6,859.2,1123.0,13.15
185506,KAMBARE KH.,981.5,67.7,859.6,1123.7,13.17
185531,KURUNJI,994.4,69.2,869.9,1139.6,13.62
186592,GUNJAVANE,1004.4,70.3,877.9,1152.1,13.98
,,1024.5,72.6,893.9,1176.9,14.69
185535,MALE,1012.4,71.2,884.2,1161.9,14.26
185603,VELVAND,969.2,66.3,849.9,1108.5,12.75
185512,KARANJGAON,923.0,61.1,813.0,1051.2,11.19
185540,MHASAR KH.,939.0,62.9,825.8,1071.1,11.73
185541,MHASAR BK.,958.6,65.1,841.4,1095.3,12.39
185485,DEHEN GR.,983.4,67.9,861.1,1126.0,13.24
185563,PANGARI,983.0,67.9,860.8,1125.5,13.23
185576,SALUNGAN,1007.0,70.6,879.9,1155.2,14.07
185585,SHILIMB,1005.9,70.5,879.1,1153.9,14.03
185529,KUMBALE,1046.8,75.1,911.6,1204.5,15.5
185480,BHUTONDE,1027.9,73.0,896.6,1181.1,14.81
185494,GUHINI,1051.9,75.7,915.7,1210.8,15.68
186617,METPILAWARE,1058.9,76.5,921.2,1219.5,15.94
186638,WELHE BK.,1052.5,75.8,916.2,1211.6,15.71
186637,WELHE KH.,1036.5,73.9,903.4,1191.7,15.12
186594,HIRPODI,1031.8,73.4,899.7,1186.0,14.96
186602,KHARIV,1027.9,73.0,896.6,1181.2,14.82
186642,WAJEGHAR,1030.9,73.3,899.0,1184.8,14.92
186624,PAL BK.,1041.8,74.5,907.6,1198.3,15.32
186611,LAVHI BK.,1018.1,71.8,888.8,1169.0,14.46
186616,MERAVANE,1006.4,70.5,879.4,1154.5,14.05
186585,CHIRMODI,992.8,69.0,868.6,1137.7,13.57
186581,ASNI MANJAI,985.9,68.2,863.1,1129.1,13.33
186628,SAKHAR,997.0,69.5,872.0,1142.9,13.72
186639,VINZHAR,979.1,67.4,857.7,1120.7,13.09
186610,LASHIRGAON,999.3,69.7,873.8,1145.8,13.8
186612,MALAVALI,995.1,69.2,870.4,1140.5,13.65
186644,WANJALE,1016.3,71.6,887.3,1166.8,14.4
186587,DAPODE,1007.2,70.6,880.1,1155.5,14.07
186625,RANJANE,991.0,68.8,867.2,1135.5,13.51
185728,KHAMGAON MAVAL,961.2,65.4,843.4,1098.5,12.48
186606,KONDGAON,970.6,66.5,851.0,1110.2,12.8
186601,KHAMGAON,988.7,68.5,865.4,1132.6,13.43
186626,RULE,999.5,69.7,873.9,1145.9,13.8
186577,AMBED,987.5,68.4,864.4,1131.1,13.38
186623,PABE,1021.3,72.2,891.3,1173.0,14.58
186586,DHANEP,1046.4,75.1,911.3,1204.1,15.48
185700,AMBI,1018.2,71.9,888.8,1169.1,14.46
186608,KURAN BK.,995.5,69.3,870.8,1141.0,13.66
185771,SONAPUR,974.8,66.9,854.3,1115.4,12.94
186620,NIGADE MOSE,969.7,66.4,850.3,1109.1,12.77
186622,OSADE,967.6,66.1,848.6,1106.5,12.7
185723,JAMBHALI,979.4,67.5,857.9,1121.0,13.1
186325,DAVAJE,956.6,64.9,839.8,1092.8,12.32
185765,SANGRUN,948.5,64.0,833.4,1082.8,12.05
185704,BAHULI,939.0,62.9,825.8,1071.1,11.73
186344,KONDHUR,973.5,66.8,853.3,1113.8,12.9
,,950.1,64.1,834.6,1084.8,12.1
,,934.8,62.4,822.5,1065.9,11.59
186301,AMBEGAON,929.4,61.8,818.1,1059.2,11.41
186355,MARNEWADI,914.3,60.1,806.2,1040.5,10.91
186384,URAWADE,901.4,58.6,795.9,1024.5,10.49
186316,BOTARWADI,897.7,58.2,792.9,1019.9,10.37
,,935.4,62.5,822.9,1066.6,11.61
185696,AHIRE,889.5,57.3,786.4,1009.8,10.11
186371,PIRANGUT,867.0,54.7,768.5,981.9,9.4
186314,BHUKUM,852.3,53.1,756.8,963.7,8.94
,,869.9,55.1,770.8,985.6,9.49
185737,KUDAJE,885.5,56.8,783.3,1004.9,9.98
185695,AGALAMBE,905.3,59.1,799.0,1029.3,10.62
185695,AGALAMBE,906.1,59.2,799.6,1030.3,10.64
185743,MANDAVI BK.,931.5,62.0,819.8,1061.7,11.48
237300,KHADAKWADI,911.9,59.8,804.2,1037.5,10.83
185744,MANDAVI KH.,923.3,61.1,813.3,1051.6,11.21
185742,MALKHED,940.6,63.1,827.0,1073.0,11.78
185787,VARDADE,956.6,64.9,839.8,1092.9,12.32
185745,MANERWADI,926.4,61.5,815.7,1055.4,11.31
185730,KHANAPUR,916.3,60.3,807.8,1043.0,10.98
185719,GORHE KH.,906.2,59.2,799.7,1030.5,10.65
185714,DONJE,883.4,56.6,781.5,1002.2,9.91
185727,KHADAKWASALA,859.8,53.9,762.7,973.0,9.17
185718,GORHE BK.,878.5,56.0,777.7,996.2,9.76
185752,KOPRE,862.4,54.2,764.8,976.2,9.25
185735,KONDHWE DHAVADE,843.8,52.1,750.0,953.2,8.68
,,819.8,49.4,730.9,923.5,7.96
,,800.1,47.1,715.2,899.1,7.39
185748,NANDED,829.8,50.5,738.9,935.8,8.26
185732,KIRKATWADI,838.5,51.5,745.8,946.7,8.52
185750,NARHE,812.1,48.5,724.8,914.0,7.74
,,808.6,48.1,722.0,909.6,7.64
,,779.4,44.8,698.8,873.5,6.8
,,782.2,45.1,701.0,876.9,6.88
,,779.6,44.8,698.9,873.8,6.81
,,796.6,46.7,712.4,894.7,7.29
237299,JAMBHULWADI / KOLEWADI,824.2,49.9,734.4,929.0,8.1
,,812.4,48.5,725.1,914.4,7.75
,,828.9,50.4,738.2,934.8,8.24
185749,NANDOSHI,860.3,54.0,763.1,973.6,9.19
185583,SASEWADI,859.0,53.8,762.1,972.0,9.15
185733,KOLVADI SASHTE,843.2,52.0,749.6,952.5,8.67
185715,GAUDDARA,878.1,56.0,777.3,995.6,9.75
,,883.5,56.6,781.6,1002.3,9.92
,,884.6,56.7,782.5,1003.7,9.95
185524,KHOPI,906.8,59.2,800.1,1031.2,10.66
,,894.8,57.9,790.6,1016.3,10.28
185532,KUSAGAON,910.9,59.7,803.4,1036.2,10.8
,,905.2,59.1,798.9,1029.2,10.61
185571,RANJE,898.3,58.3,793.4,1020.7,10.39
185701,ARVI,883.8,56.6,781.9,1002.7,9.93
185734,KONDHANPUR,910.4,59.6,803.1,1035.7,10.78
185716,GHERASINHAGAD,921.8,60.9,812.1,1049.8,11.16
185725,KALYAN,940.4,63.0,826.9,1072.7,11.77
295550,WANGANIWADI,939.4,62.9,826.1,1071.6,11.74
185762,RAHATVADE,918.2,60.5,809.2,1045.3,11.04
186619,NIGADE BK.,937.3,62.7,824.4,1068.9,11.67
186613,MANGDARI,948.3,63.9,833.2,1082.6,12.04
186599,KATVADI,954.1,64.6,837.8,1089.8,12.24
186605,KOLWADI,961.3,65.4,843.5,1098.6,12.48
186615,MARGASANI,970.7,66.5,851.0,1110.3,12.8
186603,KODAVADI,967.7,66.1,848.7,1106.6,12.7
186635,SURUVAD,958.8,65.1,841.5,1095.5,12.39
186640,WADGAON ZANJE,953.1,64.5,837.1,1088.6,12.2
186633,SONDE MATHANA,947.1,63.8,832.2,1081.1,12.0
186598,KARANJAVANE,951.5,64.3,835.8,1086.5,12.15
186576,AMBAVANE GROUP,939.3,62.9,826.1,1071.5,11.74
186632,SONDE KARLA,942.6,63.3,828.7,1075.6,11.85
185581,SANGAVI BK.,930.4,61.9,819.0,1060.5,11.44
185526,KOLAVADI,922.6,61.0,812.7,1050.7,11.18
185592,SONAVADI,928.5,61.7,817.5,1058.1,11.38
185565,PARWADI,925.3,61.3,814.9,1054.1,11.27
186584,BORAVALE GROUP,931.2,62.0,819.6,1061.4,11.47
185530,KURUNGVADI,918.8,60.6,809.7,1046.1,11.06
185509,KANJALE,905.5,59.1,799.1,1029.6,10.62
185575,SALAVADE,906.5,59.2,800.0,1030.9,10.66
185503,JAMBHALI,913.2,60.0,805.2,1039.1,10.87
185605,VIRWADI,904.5,59.0,798.3,1028.3,10.59
185536,MALEGAON,898.8,58.3,793.8,1021.2,10.41
185550,NASRAPUR,893.8,57.8,789.8,1015.0,10.24
185552,NAYGAON,892.5,57.6,788.8,1013.5,10.2
185520,KELAWADE,898.1,58.3,793.2,1020.4,10.38
185600,VARVE BK.,897.8,58.2,793.0,1020.1,10.38
,,877.3,55.9,776.7,994.7,9.72
185484,DEGAON,887.8,57.1,785.1,1007.7,10.05
186424,KETKAVALE,863.6,54.3,765.8,977.7,9.29
186405,CHILHEWADI*,853.5,53.2,757.7,965.2,8.98
186460,PURPOKHAR,842.8,52.0,749.2,952.0,8.65
186408,DEWADI,864.8,54.5,766.8,979.2,9.33
185515,KARANDI KHEBA,877.7,55.9,777.0,995.2,9.73
186470,SOMURDI,856.7,53.6,760.3,969.2,9.08
